       104--2013.0814.2214.55       114    ---    [0.3284623845]       [            Jupiter]  eleven           [Valentine          ]
       105--2013.0814.2214.55       114    ---    [0.3340173262]       [             Uranus]  eleven           [Kama               ]
       106--2013.0814.2214.55       114    ---    [0.3422508689]       [            Neptune]  sesqisquare      [Laetitia           ]
       107--2013.0814.2214.55       114    ---    [0.3429650173]       [              Pluto]  quatronovile     [Unitas             ]
       108--2013.0814.2214.55       114    ---    [0.3453759778]       [            Fortuna]  septile          [Desiderata         ]
       109--2013.0814.2214.55       114    ---    [0.3460712801]       [               Mars]  novile           [Photographia       ]
       110--2013.0814.2214.55       114    ---    [0.3480657362]       [               Amor]  biquintile       [Lust               ]
       111--2013.0814.2214.55       114    ---    [0.3517430264]       [             Sophia]  sextile          [Constantia         ]
       112--2013.0814.2214.55       114    ---    [0.3536824775]       [            Mercury]  biseptile        [Hestia             ]
       113--2013.0814.2214.55       114    ---    [0.3553569322]       [                Pax]  semisextile      [Compassion         ]
       114--2013.0814.2214.55       114    ---    [0.3593520500]       [              Venus]  trine            [Oceana             ]
       115--2013.0814.2214.55       114    ---    [0.3595924104]       [              Pluto]  binovile         [Laetitia           ]
       116--2013.0814.2214.55       114    ---    [0.3596210294]       [             Pholus]  sextile          [Laetitia           ]
       117--2013.0814.2214.55       114    ---    [0.3626361857]       [             Hestia]  quintile         [Aeternitas         ]
       118--2013.0814.2214.55       114    ---    [0.3635682146]       [             Uranus]  sextile          [Photographia       ]
       119--2013.0814.2214.55       114    ---    [0.3637294677]       [            Venusia]  sextile          [Amor               ]
       120--2013.0814.2214.55       114    ---    [0.3683826362]       [           Ambrosia]  quincunx         [Felicia            ]
       121--2013.0814.2214.55       114    ---    [0.3713277763]       [            Fortuna]  quincunx         [Hestia             ]
       122--2013.0814.2214.55       114    ---    [0.3729901889]       [                Sun]  novile           [Adonis             ]
       123--2013.0814.2214.55       114    ---    [0.3732954380]       [             Adorea]  quintile         [Bella              ]
       124--2013.0814.2214.55       114    ---    [0.3743596882]       [               Mars]  biquintile       [Sweet              ]
       125--2013.0814.2214.55       114    ---    [0.3806296621]       [             Adorea]  triseptile       [Eros               ]
       126--2013.0814.2214.55       114    ---    [0.3823451022]       [          Concordia]  quintile         [Unitas             ]
       127--2013.0814.2214.55       114    ---    [0.3824605445]       [               Mars]  eleven           [Ceres              ]
       128--2013.0814.2214.55       114    ---    [0.3851793702]       [            Fortuna]  conjunct         [Anteros            ]
       129--2013.0814.2214.55       114    ---    [0.3862799939]       [          Valentine]  novile           [Venusia            ]
       130--2013.0814.2214.55       114    ---    [0.3874901563]       [             Chiron]  opposition       [Aeternitas         ]
       131--2013.0814.2214.55       114    ---    [0.3875544232]       [             Uranus]  semisquare       [Oceana             ]
       132--2013.0814.2214.55       114    ---    [0.3892407888]       [             Sappho]  septile          [Cupido             ]
       133--2013.0814.2214.55       114    ---    [0.3904213580]       [          Concordia]  sesqisquare      [Adonis             ]
       134--2013.0814.2214.55       114    ---    [0.3905792756]       [            Jupiter]  triseptile       [Adorea             ]
       135--2013.0814.2214.55       114    ---    [0.3942687365]       [          Concordia]  sextile          [Chaldea            ]
       136--2013.0814.2214.55       114    ---    [0.3950609702]       [            Jupiter]  trine            [North Node (true)  ]
       137--2013.0814.2214.55       114    ---    [0.3980291815]       [               Siri]  square           [Pax                ]
       138--2013.0814.2214.55       114    ---    [0.3995631725]       [             Saturn]  binovile         [Compassion         ]
       139--2013.0814.2214.55       114    ---    [0.4010400770]       [               Moon]  sextile          [Venus              ]
       140--2013.0814.2214.55       114    ---    [0.4016633711]       [            Eunomia]  biquintile       [Thalia             ]
       141--2013.0814.2214.55       114    ---    [0.4017222190]       [             Adorea]  septile          [Sweet              ]
       142--2013.0814.2214.55       114    ---    [0.4106907753]       [              Venus]  sesqisquare      [Aphrodite          ]
       143--2013.0814.2214.55       114    ---    [0.4128161929]       [             Uranus]  quatronovile     [Ambrosia           ]
       144--2013.0814.2214.55       114    ---    [0.4153427540]       [              Venus]  triseptile       [Thalia             ]
